"filename", "language", "JSON with Comments", "Markdown", "JSON", "YAML", "TypeScript", "PowerShell", "JavaScript", "TypeScript JSX", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\OPERATIONS.md", "Markdown", 0, 567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 719
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\README.md", "Markdown", 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 281
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\TROUBLESHOOTING.md", "Markdown", 0, 597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 791
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 2, 8
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\package.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\src\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\admin\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\embed\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\embed\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\embed\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\embed\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\embed\next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 2, 8
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\embed\package.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\embed\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\embed\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\embed\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\server\package.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\server\src\__tests__\TEST_DOCUMENTATION.md", "Markdown", 0, 372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 458
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\server\src\__tests__\auth.service.test.ts", "TypeScript", 0, 0, 0, 0, 235, 0, 0, 0, 0, 0, 5, 47, 287
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\server\src\__tests__\availability-booking.e2e.test.ts", "TypeScript", 0, 0, 0, 0, 447, 0, 0, 0, 0, 0, 18, 65, 530
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\apps\server\src\__tests__\availability-booking.integration.test.ts", "TypeScript", 0, 0, 0, 0, 594, 0, 0, 0, 0, 0, 26, 88, 708
